Timestamp;Station;Linie;Einsteiger;Aussteiger;Avg
2017-01-01;RES;S3;242491;275968;259230
2017-01-01;RI;S1;292110;295229;293670
2017-01-01;ROP;S2;18875;17850;18363
2017-01-01;ROP;S21;207187;217850;212519
2017-01-01;RP;S1;567561;538327;552944
2017-01-01;RP;S11;57361;58031;57696
2017-01-01;SDF;S1;258530;265632;262081
2017-01-01;SHS;S1;509576;573777;541677
2017-01-01;SHS;S2;19215;17832;18524
2017-01-01;SHS;S3;246481;267293;256887
2017-01-01;SST;S11;58271;66169;62220
2017-01-01;SST;S21;223750;241102;232426
2017-01-01;SST;S31;471861;498664;485263
2017-01-01;ST;S3;35364;36878;36121
2017-01-01;STS;S21;180589;144199;162394
2017-01-01;STS;S3;190043;225650;207847
2017-01-01;THS;S3;131452;139675;135564
2017-01-01;TK;S2;14198;16312;15255
2017-01-01;TK;S21;155059;170979;163019
2017-01-01;VLS;S3;291121;295129;293125
2017-01-01;VLS;S31;380613;397550;389082
2017-01-01;WBS;S1;241736;263136;252436
2017-01-01;WBS;S11;33533;31142;32338
2017-01-01;WCH;S1;555631;592950;574291
2017-01-01;WCH;S11;51328;59688;55508
2017-01-01;WFS;S3;275580;296336;285958
2017-01-01;WFS;S31;373053;385726;379390
2017-01-01;WL;S1;218002;216215;217109
2017-01-01;WLF;S21;68736;63559;66148
2017-02-01;ABG;S3;24389;23743;24066
2017-02-01;AH;S21;56149;58854;57502
2017-02-01;AI;S1;123368;120424;121896
2017-02-01;ALH;S2;17380;17900;17640
2017-02-01;ALH;S21;174217;181547;177882
2017-02-01;AS;S1;620447;643688;632068
2017-02-01;AS;S11;46634;49556;48095
2017-02-01;AS;S2;6837;11900;9369
2017-02-01;AS;S3;238756;269065;253911
2017-02-01;AS;S31;266618;283566;275092
2017-02-01;AW;S1;389870;393601;391736
2017-02-01;AW;S11;29153;27219;28186
2017-02-01;B;S1;407214;439483;423349
2017-02-01;B;S11;19847;21954;20901
2017-02-01;BAF;S1;475002;470842;472922
2017-02-01;BAF;S11;40530;38082;39306
2017-02-01;BAP;S1;498499;524169;511334
2017-02-01;BAP;S11;39079;45536;42308
2017-02-01;BGS;S2;11560;8028;9794
2017-02-01;BGS;S21;180156;184471;182314
2017-02-01;BTSL;S1;489475;495672;492574
2017-02-01;BTSL;S11;40889;43455;42172
2017-02-01;BTSL;S2;16747;19519;18133
2017-02-01;BTSL;S21;203733;208044;205889
2017-02-01;BTSL;S31;38949;40053;39501
2017-02-01;BWM;S2;10806;11579;11193
2017-02-01;BWM;S21;140616;146782;143699
2017-02-01;BX;S3;82412;81252;81832
2017-02-01;DR;S3;28890;25620;27255
2017-02-01;DST;S11;43780;45238;44509
2017-02-01;DST;S21;188761;208578;198670
2017-02-01;DST;S31;448559;414252;431406
2017-02-01;DT;S21;155705;143989;149847
2017-02-01;DT;S3;148404;177130;162767
2017-02-01;EGS;S21;102797;113829;108313
2017-02-01;EGS;S3;169368;162119;165744
2017-02-01;EST;S21;147716;126417;137067
2017-02-01;EST;S3;152504;178301;165403
2017-02-01;FB;S1;400966;420881;410924
2017-02-01;FB;S11;28048;26558;27303
2017-02-01;FBG;S1;456980;447367;452174
2017-02-01;FBG;S11;41348;41049;41199
2017-02-01;FIB;S3;61263;44704;52984
2017-02-01;HAB;S3;219816;212449;216133
2017-02-01;HAB;S31;372575;355968;364272
2017-02-01;HCH;S1;149206;172797;161002
2017-02-01;HCH;S11;12997;14634;13816
2017-02-01;HFS;S3;205191;216486;210839
2017-02-01;HFS;S31;123632;115499;119566
2017-02-01;HKS;S3;108922;111251;110087
2017-02-01;HOG;S3;45874;46347;46111
2017-02-01;HPS;S1;264331;295416;279874
2017-02-01;HPS;S11;21224;22823;22024
2017-02-01;HRF;S3;243121;249710;246416
2017-02-01;HRF;S31;284148;330743;307446
2017-02-01;HRS;S3;236007;226558;231283
2017-02-01;HRS;S31;367854;388220;378037
